ASIN,SKU,Brand,Model,category_l0,category_l1,category_l2,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns,Channel,Month,WindowStart,WindowEnd
B0CBCB82MT,FBA78960,Audio Array,AM-C39,Microphone Condenser,XLR Microphone Kit - Tripod,,29,35456.76,31,0.0,17,1p Sales,Aug26,2026-08-01,2026-08-31
B0CF5R3V95,FBA78973,Audio Array,AA-19,Microphone Accessories,Accessories,,90,284683.59,85,0.0,11,1p Sales,Aug26,2026-08-01,2026-08-31
B0CF5RRTDJ,FBA78974,Audio Array,AA-20,Microphone Accessories,Accessories,,12,20298.32,12,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0CF5SHL15,FBA78976,Audio Array,AA-22,Monitor Speakers Accessories,Monitor Speaker Stand Pair,,26,80122.02,26,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0CF5TCQKL,FBA78975,Audio Array,AA-21,Monitor Speakers Accessories,Monitor Speaker Stand Pair,,110,343533.25,109,0.0,23,1p Sales,Aug26,2026-08-01,2026-08-31
B0CH4PMR8K,FBA79009,Audio Array,AM-C41,Microphone Condenser,USB Microphone Kit - Tripod,,12,16298.28,11,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0CH4R1V6S,FBA79016,Audio Array,AM-C3a,Microphone Dynamic,Vocal Microphone,,9,5930.52,9,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0CH4RNWJX,FBA79011,Audio Array,AM-C43,Microphone Condenser,XLR Microphone Kit - Boomarm,,66,135415.32,66,0.0,25,1p Sales,Aug26,2026-08-01,2026-08-31
B0CH4RT4P8,FBA79008,Audio Array,AI-06,Audio Interface,Audio Interface,,7,13348.28,7,0.0,5,1p Sales,Aug26,2026-08-01,2026-08-31
B0CH4T2BJD,FBA79010,Audio Array,AM-C42,Microphone Condenser,USB Microphone Kit - Boomarm,,2,3879.66,2,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0CH4VCD6R,FBA77171,Audio Array,AC-6XL,Microphone Accessories,Accessories,,275,125602.1,277,0.0,16,1p Sales,Aug26,2026-08-01,2026-08-31
B0CJR76Y7G,FBA79064,Audio Array,AA-25,Microphone Accessories,Accessories,,23,16149.17,23,0.0,4,1p Sales,Aug26,2026-08-01,2026-08-31
B0CKHVHVQ1,FBA79005,Audio Array,AM-W45,Microphone Conference,Wireless Conference Microphone,,354,1562530.97,356,0.0,33,1p Sales,Aug26,2026-08-01,2026-08-31
B0CM6NTWBP,FBA79103,Audio Array,AI-10,Audio Interface,Audio Interface,,55,138967.8,56,0.0,18,1p Sales,Aug26,2026-08-01,2026-08-31
B0CM6NVLT9,FBA79104,Audio Array,AI-11,Audio Interface,Audio Interface,,139,184046.98,138,0.0,30,1p Sales,Aug26,2026-08-01,2026-08-31
B0CM6WH4ZT,FBA79105,Audio Array,AI-12,Audio Interface,Audio Interface,,82,93633.79,80,0.0,34,1p Sales,Aug26,2026-08-01,2026-08-31
B0CM9HYVDM,FBA79109,Audio Array,AM-W18,Speaker Karaoke,Microphone with Speaker,,42,41899.91,42,0.0,6,1p Sales,Aug26,2026-08-01,2026-08-31
B0CM9KJZWQ,FBA79106,Audio Array,AM-C44,Microphone Dynamic,Dynamic Microphone,,11,44351.66,11,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0CM9L1QZG,FBA79108,Audio Array,AM-W16,Microphone Wireless Lapel,Wireless Lapel Microphone,,13,14438.14,13,0.0,7,1p Sales,Aug26,2026-08-01,2026-08-31
B0CM9P5CCK,FBA79107,Audio Array,AM-W17,Microphone Wireless Lapel,Wireless Lapel Microphone,,18,25777.16,17,0.0,13,1p Sales,Aug26,2026-08-01,2026-08-31
B0CX1XK5R6,FBA79230,Audio Array,AM-W46,Speaker Karaoke,Microphone with Speaker,,1,4066.95,1,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0D3LZWTHV,FBA79379,Audio Array,AM-C45,Microphone Dynamic,Dynamic Microphone,,5,14131.34,5,0.0,2,1p Sales,Aug26,2026-08-01,2026-08-31
B0D3M1B4Z8,FBA79380,Audio Array,AM-C46,Microphone Condenser,Condenser Mic with Boom Arm,,68,195976.29,70,0.0,11,1p Sales,Aug26,2026-08-01,2026-08-31
B0D3M86SH1,FBA79355,Audio Array,AA-19BL,Microphone Accessories,Accessories,,8,31772.88,8,0.0,4,1p Sales,Aug26,2026-08-01,2026-08-31
B0D3Q2T5XX,FBA79356,Audio Array,AA-19WL,Microphone Accessories,Accessories,,6,21045.77,6,0.0,2,1p Sales,Aug26,2026-08-01,2026-08-31
B0DFMKY4TT,FBA79448,Audio Array,AM-W35,Microphone Wireless Handheld,Wireless Microphone,,5,15103.4,6,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0DFMLQBMC,FBA79444,Audio Array,AM-W20,Microphone Wireless Lapel,Wireless Lapel Microphone,,0,0.0,0,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0DFMLS8JG,FBA79445,Audio Array,AM-W32,Microphone Wireless Handheld,Wireless Microphone,,7,22544.9,7,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0DFMLXD9S,FBA79447,Audio Array,AM-W34,Microphone Wireless Handheld,Wireless Microphone,,15,49405.92,14,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0DFMMTWLY,FBA79446,Audio Array,AM-W33,Microphone Wireless Handheld,Wireless Microphone,,9,14441.53,10,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0DFMNGFTD,FBA79449,Audio Array,AM-W36,Microphone Wireless Handheld,Wireless Microphone,,18,93979.73,18,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0DN6LJZBR,FBA79653,Audio Array,AM-C45 Pro,Microphone Dynamic,Microphone Dynamic,,6,20056.77,8,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0DN6MNS1X,FBA79654,Audio Array,AM-C11 Pro,Microphone Dynamic,Microphone Dynamic,,10,40595.81,9,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0DN6PFWNK,FBA79655,Audio Array,AM-C44 Pro,Microphone Dynamic,Microphone Dynamic,,3,12678.8,5,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0DT6T6N6B,FBA79694,Audio Array,AA-26,Microphone Accessories,Accessories,,377,176803.13,375,0.0,51,1p Sales,Aug26,2026-08-01,2026-08-31
B0DXFPM4N2,FBA79482,Audio Array,AM-S1,Monitor Speakers,Studio Monitor Speaker,,173,1294981.36,170,0.0,36,1p Sales,Aug26,2026-08-01,2026-08-31
B0FF9R3GKK,FBA79783,Audio Array,AM-C47,Microphone Condenser,USB Microphone Kit - Boomarm,,29,65604.28,29,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0FFB6YJM1,FBA79708,Audio Array,SB-01,Sound Bar,Sound Bar,,161,161859.16,167,0.0,49,1p Sales,Aug26,2026-08-01,2026-08-31
B0FG88HVQ8,FBA79813,Audio Array,AH-50,DJ Headphone,DJ Headphone,,392,650989.34,398,0.0,46,1p Sales,Aug26,2026-08-01,2026-08-31
B0FJ2DT13L,FBA79825,Audio Array,GB-02 (AM-C43 + AI-11),Bundles,GB-02,,31,99765.19,30,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0FJ2HZCVN,FBA79823,Audio Array,PB-01 (AM-C11 + AI-04),Bundles,PB-01,,0,0.0,0,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0FJ2J6MTF,FBA79822,Audio Array,KB-01 (AM-W32 + AI-12),Bundles,KB-01,,4,15844.07,4,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0FJ2JJZL3,FBA79821,Audio Array,"UB-01 (AI-04, AM-S1, AA-21, AM-C2)",Bundles,UB-01,,2,32201.7,2,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0FJ2K95XT,FBA79824,Audio Array,GB-01 (AM-C43 +AI-10),Bundles,GB-01,,5,22483.91,5,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0FJ2LQT7K,FBA79826,Audio Array,PB-02 (AI-04 Red + AM-C11 + AA-05),Bundles,PB-02,,1,2795.76,1,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0FJ8PZ9H7,FBA79833,Audio Array,PB-04 (AI-04 Red + AM-C44 x 2),Bundles,PB-04,,3,33972.04,3,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0FJ8S53GW,FBA79832,Audio Array,GB-05 (AM-C43 + AI-06),Bundles,GB-05,,3,13271.18,3,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0FJ8S5XJ8,FBA79827,Audio Array,PB-03 (AI-04 Red + AM-C11 x 2),Bundles,PB-03,,4,13555.92,4,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0FJ8T4WXM,FBA79834,Audio Array,PB-05 (AA-05 + AM-C11 + AI-04),Bundles,PB-05,,0,0.0,0,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0FJ8TSQK1,FBA79830,Audio Array,GB-03 (AI-12 + AM-C43),Bundles,GB-03,,163,421610.33,158,0.0,34,1p Sales,Aug26,2026-08-01,2026-08-31
B0FJ8TWCQZ,FBA79835,Audio Array,PB-06 (AA-05 + AM-C44 + AI-04),Bundles,PB-06,,2,15551.69,2,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0FJ8W5Y9Q,FBA79831,Audio Array,GB-04 (AM-C45 + AI-06),Bundles,GB-04,,1,5041.53,1,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0FLYHJ6DK,FBK79009,Audio Array,AM-C41,Microphone Condenser,USB Microphone Kit - Tripod,,3,4022.87,3,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0FLYJFC22,FBK79010,Audio Array,AM-C42,Microphone Condenser,USB Microphone Kit - Boomarm,,1,1863.56,1,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0FN7B3KWS,FBA79845,Audio Array,UB-02 (AM-S1 + AA-21),Bundles,UB-02,,9,87704.23,9,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0FN7C25VS,FBA79846,Audio Array,AM-C11X Pro,Microphone Dynamic,Microphone Dynamic,,1,3211.02,1,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0FN7FYZM3,FBA79847,Audio Array,PB-09 (AM-C45 + AI-06 + AA-05),Bundles,PB-09,,3,9942.99,3,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0FPR7VFCH,FBA79815,Audio Array,AM-W19,Microphone Wireless Lapel,Wireless Lapel Microphone,,3,4912.71,2,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0FPR962YS,FBA79816,Audio Array,AM-W22,Microphone Wireless Lapel,Wireless Lapel Microphone,,11,29939.82,10,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0FQBTRM28,FBA79841,Audio Array,AH-60-BL,Headphone,Headphone,,42,70040.66,41,0.0,10,1p Sales,Aug26,2026-08-01,2026-08-31
B0FQBWV1ST,FBA79840,Audio Array,AH-60-RD,Headphone,Headphone,,20,33016.95,21,0.0,2,1p Sales,Aug26,2026-08-01,2026-08-31
B0FQBX8J17,FBA79838,Audio Array,AH-40 SL,DJ Headphone,DJ Headphone,,105,105567.08,101,0.0,14,1p Sales,Aug26,2026-08-01,2026-08-31
B0FQBXS6Y2,FBA79839,Audio Array,AH-45 BK,DJ Headphone,DJ Headphone,,297,366373.97,302,0.0,41,1p Sales,Aug26,2026-08-01,2026-08-31
B0FQJWWDVK,FBA79820,Audio Array,AC-3XL,Microphone Accessories,Accessories,,19,7100.03,19,0.0,6,1p Sales,Aug26,2026-08-01,2026-08-31
B0FTVQQVDC,FBA79904,Audio Array,PB-10 (AM-C2+AI-04+AH-60-BL),Bundles,PB-10,,41,340962.66,41,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0FTVS34SD,FBA79907,Audio Array,PB-13 (AM-C43+AH-40-SL+AI-11),Bundles,PB-13,,4,17115.26,3,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0FTVSH458,FBA79905,Audio Array,PB-11 (AM-C44+AA-05+AH-45-BK),Bundles,PB-11,,3,15336.44,3,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0FTVV1QJY,FBA79908,Audio Array,PB-14 (AM-C43+AH-40-SL+AI-12),Bundles,PB-14,,8,30400.01,8,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0FTVVLNS9,FBA79906,Audio Array,PB-12 (AM-C11+AA-05+AI-04+AH-60-RD),Bundles,PB-12,,11,80838.15,11,0.0,4,1p Sales,Aug26,2026-08-01,2026-08-31
B0FVM17Q4W,FBA79909,Audio Array,AM-W20,Microphone Wireless Lapel,Wireless Lapel Microphone,,2,3388.14,2,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0G2C2RCXN,FBA79967,Audio Array,AM-W19,Microphone Wireless Lapel,Wireless Lapel Microphone,,3,4912.71,3,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0G39ZHDYP,FBA79959,Audio Array,AM-W47 Wired,Voice Amplifier,Wired Voice Amplifier,,336,329012.16,338,0.0,37,1p Sales,Aug26,2026-08-01,2026-08-31
B0G3B152FR,FBA79960,Audio Array,AM-W47 Wireless,Voice Amplifier,Wireless Voice Amplifier,,173,277022.62,171,0.0,26,1p Sales,Aug26,2026-08-01,2026-08-31
B0G3B677Z5,FBA79969,Audio Array,UB-03 (AM-S1 + AA-22),Bundles,UB-03,,5,35501.7,5,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0G3Q517Y2,FBA79957,Audio Array,AM-W23,Microphone Wireless Lapel,Wireless Lapel Microphone,,16,19560.3,16,0.0,11,1p Sales,Aug26,2026-08-01,2026-08-31
B0G3Q59X8C,FBA79958,Audio Array,AM-W24,Microphone Wireless Lapel,Wireless Lapel Microphone,,30,42157.48,30,0.0,12,1p Sales,Aug26,2026-08-01,2026-08-31
B0G4DNF8RZ,FBA79842,Audio Array,AM-C48,Microphone Dynamic,Microphone Dynamic,,34,92025.41,34,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0G53CB72D,FBA79963,Audio Array,AM-Pro8,Audio Mixer,8 channels Mixer,,3,35514.57,3,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0G53H49BS,FBA79961,Audio Array,AI-13,Audio Mixer,4 channels Mixer,,325,755667.05,316,0.0,78,1p Sales,Aug26,2026-08-01,2026-08-31
B0G53KWRVW,FBA79966,Audio Array,AM-Mix10,Audio Mixer,10 channels mixer,,45,369836.47,43,0.0,11,1p Sales,Aug26,2026-08-01,2026-08-31
B0G53KWRWH,FBA79964,Audio Array,AM-Pro12,Audio Mixer,12 channels Mixer,,1,19490.68,1,0.0,2,1p Sales,Aug26,2026-08-01,2026-08-31
B0G53LZNY3,FBA79962,Audio Array,BE-4T,Audio Mixer,4 channels mixer with OTG,,16,70611.03,15,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0G53M9258,FBA79968,Audio Array,AI-14,Audio Mixer,8 channels Mixer,,107,541127.2,104,0.0,22,1p Sales,Aug26,2026-08-01,2026-08-31
B0G53PRM34,FBA79965,Audio Array,AM-Mix6,Audio Mixer,6 channels mixer,,3,20745.77,3,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0GCP1J2HC,FBA79972,Audio Array,M8,Audio Mixer,8 channels Mixer,,61,417280.57,59,0.0,14,1p Sales,Aug26,2026-08-01,2026-08-31
B0GKPXQ8G3,FBA80016,Audio Array,AM-W22,Microphone Wireless Lapel,Wireless Lapel Microphone,,19,41848.3,19,0.0,5,1p Sales,Aug26,2026-08-01,2026-08-31
B0GN2LHJY4,FBA80007,Audio Array,MT-12,Audio Mixer,12 channels Mixer,,13,79226.26,13,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0GN8MFDGZ,FBA79981,Audio Array,AK-61 Neo,Electric Keyboard,61 Key Electronic Keyboard With LED DIsplay,,10,40816.07,9,0.0,1,1p Sales,Aug26,2026-08-01,2026-08-31
B0GN8MMKY1,FBA79980,Audio Array,AK-37-W,Electric Keyboard,37 Key Electronic Keyboard White,,24,71188.06,24,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0GN8MPYPG,FBA79982,Audio Array,AK-61 Pro,Electric Keyboard,61 Key Electronic Keyboard With LCD DIsplay,,13,59217.78,13,0.0,9,1p Sales,Aug26,2026-08-01,2026-08-31
B0GN8RQJRG,FBA79979,Audio Array,AK-37-B,Electric Keyboard,37 Key Electronic Keyboard Black,,18,52908.43,19,0.0,4,1p Sales,Aug26,2026-08-01,2026-08-31
B0GN97RFPR,FBA79848,Audio Array,AM-S2,Monitor Speakers,Studio Monitor Speaker,,242,1317421.29,240,0.0,65,1p Sales,Aug26,2026-08-01,2026-08-31
B0GW8R2RYM,FBA80009,Audio Array,AM-C51,Microphone Dynamic,Vocal Microphone,,3,4065.24,3,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0GW8VBCBL,FBA79995,Audio Array,AM-C50,Microphone Dynamic,Vocal Microphone,,5,3639.83,5,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0GW8Z556N,FBA79996,Audio Array,AM-C49,Microphone Dynamic,Vocal Microphone,,8,5967.77,8,0.0,3,1p Sales,Aug26,2026-08-01,2026-08-31
B0GW8ZQRFK,FBA80010,Audio Array,AM-C52,Microphone Dynamic,Vocal Microphone,,6,8056.76,6,0.0,2,1p Sales,Aug26,2026-08-01,2026-08-31
B0GW92316G,FBA80004,Audio Array,AM-W36 Pro,Microphone Wireless Handheld,Dual UHF Wireless Microphone With Receiver Box,,21,93244.83,21,0.0,6,1p Sales,Aug26,2026-08-01,2026-08-31
B0GW92TTMS,FBA80003,Audio Array,AM-W32 Pro,Microphone Wireless Handheld,Dual UHF Wireless Microphone With Receiver,,2,8896.6,2,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0GW96SHSK,FBA80002,Audio Array,AM-W33 Pro,Microphone Wireless Handheld,Single UHF Wireless Microphone With Receiver,,3,7624.58,3,0.0,0,1p Sales,Aug26,2026-08-01,2026-08-31
B0GXP97CZG,FBA80084,Audio Array,BE-4,Audio Mixer,04 channels Mixer,,62,195316.94,57,0.0,17,1p Sales,Aug26,2026-08-01,2026-08-31
B0GXPBHDRF,FBA80085,Audio Array,M6,Audio Mixer,06 channels Mixer,,89,438220.5,89,0.0,25,1p Sales,Aug26,2026-08-01,2026-08-31
