ASIN,SKU,Brand,Model,category_l0,category_l1,category_l2,Qty,Sale,ShippedUnits,ShippedRevenue,CustomerReturns,Channel,Month,WindowStart,WindowEnd
B0B4K87PR4,FBA75690,Audio Array,AM-C10,Microphone Conference,Conference Microphone,,25,84724.5,24,0.0,3,1p Sales,2026-06,2026-06-01,2026-06-30
B0B4KC7VBM,FBA75677,Audio Array,AM-C5,Microphone Conference,Conference Microphone,,49,98305.98,48,0.0,6,1p Sales,2026-06,2026-06-01,2026-06-30
B0BLJVJ2GN,FBA76414,Audio Array,AA-05,Microphone Accessories,Accessories,,174,95700.0,175,0.0,29,1p Sales,2026-06,2026-06-01,2026-06-30
B0BLKCDRNB,FBA76727,Audio Array,AM-C24,Microphone Condenser,USB Microphone Kit - Tripod,,2,2710.16,2,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0BLKF46QG,FBA76723,Audio Array,AM-C20,Microphone Condenser,USB Microphone Kit - Tripod,,2,2286.44,4,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0BPLWW72Y,FBA76862,Audio Array,AM-C28,Microphone Conference,Conference Microphone,,182,250882.9,179,0.0,39,1p Sales,2026-06,2026-06-01,2026-06-30
B0BPLZ5CGV,FBA76864,Audio Array,AI-04 Red,Audio Interface,Audio Interface,,555,2257154.96,565,0.0,128,1p Sales,2026-06,2026-06-01,2026-06-30
B0BPM2T7BQ,FBA76863,Audio Array,AI-03,Audio Interface,Audio Interface,,16,54223.68,16,0.0,6,1p Sales,2026-06,2026-06-01,2026-06-30
B0BPMBMN3S,FBA77010,Audio Array,AI-04 Black,Audio Interface,Audio Interface,,1,5197.46,1,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0BQ7H7418,FBA76597,Audio Array,AA-06,Microphone Accessories,Accessories,,30,33025.4,29,0.0,7,1p Sales,2026-06,2026-06-01,2026-06-30
B0C4YT43Z3,FBA78204,Audio Array,AM-C31,Microphone Condenser,USB Microphone Kit - Tripod,,1,1863.56,1,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0C4YTNJG7,FBA78203,Audio Array,AM-C30,Microphone Condenser,RGB USB Microphone Kit - Tripod,,1,1694.07,1,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0CBC7QMNV,FBA78925,Audio Array,AM-C11X,Microphone Dynamic,XLR Dynamic Mic,,6,18554.22,6,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0CBCB82MT,FBA78960,Audio Array,AM-C39,Microphone Condenser,XLR Microphone Kit - Tripod,,18,24794.9,18,0.0,5,1p Sales,2026-06,2026-06-01,2026-06-30
B0CF5R3V95,FBA78973,Audio Array,AA-19,Microphone Accessories,Accessories,,103,335971.58,103,0.0,10,1p Sales,2026-06,2026-06-01,2026-06-30
B0CF5RRTDJ,FBA78974,Audio Array,AA-20,Microphone Accessories,Accessories,,12,20328.79,12,0.0,7,1p Sales,2026-06,2026-06-01,2026-06-30
B0CF5SHL15,FBA78976,Audio Array,AA-22,Monitor Speakers Accessories,Monitor Speaker Stand Pair,,18,56535.6,18,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0CF5TCQKL,FBA78975,Audio Array,AA-21,Monitor Speakers Accessories,Monitor Speaker Stand Pair,,100,322005.34,101,0.0,11,1p Sales,2026-06,2026-06-01,2026-06-30
B0CH4PMR8K,FBA79009,Audio Array,AM-C41,Microphone Condenser,USB Microphone Kit - Tripod,,20,27101.6,20,0.0,8,1p Sales,2026-06,2026-06-01,2026-06-30
B0CH4R1V6S,FBA79016,Audio Array,AM-C3a,Microphone Dynamic,Vocal Microphone,,7,4739.84,8,0.0,5,1p Sales,2026-06,2026-06-01,2026-06-30
B0CH4RNWJX,FBA79011,Audio Array,AM-C43,Microphone Condenser,XLR Microphone Kit - Boomarm,,70,148246.0,69,0.0,31,1p Sales,2026-06,2026-06-01,2026-06-30
B0CH4RT4P8,FBA79008,Audio Array,AI-06,Audio Interface,Audio Interface,,2,4410.55,2,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0CH4T2BJD,FBA79010,Audio Array,AM-C42,Microphone Condenser,USB Microphone Kit - Boomarm,,9,17916.12,9,0.0,3,1p Sales,2026-06,2026-06-01,2026-06-30
B0CH4VCD6R,FBA77171,Audio Array,AC-6XL,Microphone Accessories,Accessories,,140,65135.53,141,0.0,9,1p Sales,2026-06,2026-06-01,2026-06-30
B0CJR76Y7G,FBA79064,Audio Array,AA-25,Microphone Accessories,Accessories,,31,22304.29,31,0.0,5,1p Sales,2026-06,2026-06-01,2026-06-30
B0CKHVHVQ1,FBA79005,Audio Array,AM-W45,Microphone Conference,Wireless Conference Microphone,,219,964349.05,212,0.0,31,1p Sales,2026-06,2026-06-01,2026-06-30
B0CM6NTWBP,FBA79103,Audio Array,AI-10,Audio Interface,Audio Interface,,63,165455.14,66,0.0,20,1p Sales,2026-06,2026-06-01,2026-06-30
B0CM6NVLT9,FBA79104,Audio Array,AI-11,Audio Interface,Audio Interface,,104,137237.3,106,0.0,31,1p Sales,2026-06,2026-06-01,2026-06-30
B0CM6WH4ZT,FBA79105,Audio Array,AI-12,Audio Interface,Audio Interface,,18,21340.7,21,0.0,20,1p Sales,2026-06,2026-06-01,2026-06-30
B0CM9HYVDM,FBA79109,Audio Array,AM-W18,Speaker Karaoke,Microphone with Speaker,,70,70533.8,73,0.0,16,1p Sales,2026-06,2026-06-01,2026-06-30
B0CM9KJZWQ,FBA79106,Audio Array,AM-C44,Microphone Dynamic,Dynamic Microphone,,8,31857.6,8,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0CM9L1QZG,FBA79108,Audio Array,AM-W16,Microphone Wireless Lapel,Wireless Lapel Microphone,,6,6859.32,6,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0CM9P5CCK,FBA79107,Audio Array,AM-W17,Microphone Wireless Lapel,Wireless Lapel Microphone,,10,14398.33,11,0.0,4,1p Sales,2026-06,2026-06-01,2026-06-30
B0D3LZWTHV,FBA79379,Audio Array,AM-C45,Microphone Dynamic,Dynamic Microphone,,11,32151.68,13,0.0,3,1p Sales,2026-06,2026-06-01,2026-06-30
B0D3M1B4Z8,FBA79380,Audio Array,AM-C46,Microphone Condenser,Condenser Mic with Boom Arm,,95,273648.15,96,0.0,23,1p Sales,2026-06,2026-06-01,2026-06-30
B0D3M86SH1,FBA79355,Audio Array,AA-19BL,Microphone Accessories,Accessories,,11,46600.84,11,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0D3Q2T5XX,FBA79356,Audio Array,AA-19WL,Microphone Accessories,Accessories,,4,16522.08,4,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0DFMKY4TT,FBA79448,Audio Array,AM-W35,Microphone Wireless Handheld,Wireless Microphone,,3,9150.0,3,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0DFMLS8JG,FBA79445,Audio Array,AM-W32,Microphone Wireless Handheld,Wireless Microphone,,6,20333.88,4,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0DFMLXD9S,FBA79447,Audio Array,AM-W34,Microphone Wireless Handheld,Wireless Microphone,,3,10166.94,3,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0DFMMTWLY,FBA79446,Audio Array,AM-W33,Microphone Wireless Handheld,Wireless Microphone,,3,5432.2,3,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0DFMNGFTD,FBA79449,Audio Array,AM-W36,Microphone Wireless Handheld,Wireless Microphone,,4,21352.56,4,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0DFMQCGT1,FBA79465,Audio Array,AM-W21,Microphone Wireless Lapel,Wireless Lapel Microphone,,1,2477.97,1,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0DN6LJZBR,FBA79653,Audio Array,AM-C45 Pro,Microphone Dynamic,Microphone Dynamic,,3,10166.94,3,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0DN6MNS1X,FBA79654,Audio Array,AM-C11 Pro,Microphone Dynamic,Microphone Dynamic,,11,45662.13,11,0.0,5,1p Sales,2026-06,2026-06-01,2026-06-30
B0DN6PFWNK,FBA79655,Audio Array,AM-C44 Pro,Microphone Dynamic,Microphone Dynamic,,2,8811.87,2,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0DT6T6N6B,FBA79694,Audio Array,AA-26,Microphone Accessories,Accessories,,216,109298.36,220,0.0,36,1p Sales,2026-06,2026-06-01,2026-06-30
B0DXFPM4N2,FBA79482,Audio Array,AM-S1,Monitor Speakers,Studio Monitor Speaker,,144,1110161.19,143,0.0,30,1p Sales,2026-06,2026-06-01,2026-06-30
B0FF9R3GKK,FBA79783,Audio Array,AM-C47,Microphone Condenser,USB Microphone Kit - Boomarm,,1,2414.41,1,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0FFB6YJM1,FBA79708,Audio Array,SB-01,Sound Bar,Sound Bar,,107,110290.5,104,0.0,24,1p Sales,2026-06,2026-06-01,2026-06-30
B0FG88HVQ8,FBA79813,Audio Array,AH-50,DJ Headphone,DJ Headphone,,362,613251.72,360,0.0,75,1p Sales,2026-06,2026-06-01,2026-06-30
B0FJ2DT13L,FBA79825,Audio Array,GB-02 (AM-C43 + AI-11),Bundles,GB-02,,7,22833.02,8,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0FJ2HZCVN,FBA79823,Audio Array,PB-01 (AM-C11 + AI-04),Bundles,PB-01,,0,0.0,0,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0FJ2JJZL3,FBA79821,Audio Array,"UB-01 (AI-04, AM-S1, AA-21, AM-C2)",Bundles,UB-01,,2,32710.16,2,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0FJ2K95XT,FBA79824,Audio Array,GB-01 (AM-C43 +AI-10),Bundles,GB-01,,5,22877.1,5,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0FJ2LQT7K,FBA79826,Audio Array,PB-02 (AI-04 Red + AM-C11 + AA-05),Bundles,PB-02,,1,8050.0,1,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0FJ8S53GW,FBA79832,Audio Array,GB-05 (AM-C43 + AI-06),Bundles,GB-05,,1,4575.42,2,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0FJ8TSQK1,FBA79830,Audio Array,GB-03 (AI-12 + AM-C43),Bundles,GB-03,,8,21349.12,9,0.0,9,1p Sales,2026-06,2026-06-01,2026-06-30
B0FLYHJ6DK,FBK79009,Audio Array,AM-C41,Microphone Condenser,USB Microphone Kit - Tripod,,2,2710.16,2,0.0,3,1p Sales,2026-06,2026-06-01,2026-06-30
B0FN7B3KWS,FBA79845,Audio Array,UB-02 (AM-S1 + AA-21),Bundles,UB-02,,5,53470.33,6,0.0,3,1p Sales,2026-06,2026-06-01,2026-06-30
B0FN7C25VS,FBA79846,Audio Array,AM-C11X Pro,Microphone Dynamic,Microphone Dynamic,,1,3388.98,1,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0FN7DYB2M,FBA79844,Audio Array,PB-08 (AM-C1 + AI-04),Bundles,PB-08,,0,0.0,0,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0FPR962YS,FBA79816,Audio Array,AM-W22,Microphone Wireless Lapel,Wireless Lapel Microphone,,4,11437.29,4,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0FQBTRM28,FBA79841,Audio Array,AH-60-BL,Headphone,Headphone,,36,60986.44,35,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0FQBWV1ST,FBA79840,Audio Array,AH-60-RD,Headphone,Headphone,,10,16940.69,11,0.0,4,1p Sales,2026-06,2026-06-01,2026-06-30
B0FQBX8J17,FBA79838,Audio Array,AH-40 SL,DJ Headphone,DJ Headphone,,48,59088.16,48,0.0,8,1p Sales,2026-06,2026-06-01,2026-06-30
B0FQBXS6Y2,FBA79839,Audio Array,AH-45 BK,DJ Headphone,DJ Headphone,,201,272420.24,196,0.0,24,1p Sales,2026-06,2026-06-01,2026-06-30
B0FQJWWDVK,FBA79820,Audio Array,AC-3XL,Microphone Accessories,Accessories,,25,9512.67,25,0.0,9,1p Sales,2026-06,2026-06-01,2026-06-30
B0FTVQQVDC,FBA79904,Audio Array,PB-10 (AM-C2+AI-04+AH-60-BL),Bundles,PB-10,,30,254211.85,31,0.0,5,1p Sales,2026-06,2026-06-01,2026-06-30
B0FTVSH458,FBA79905,Audio Array,PB-11 (AM-C44+AA-05+AH-45-BK),Bundles,PB-11,,9,30000.6,9,0.0,3,1p Sales,2026-06,2026-06-01,2026-06-30
B0FTVV1QJY,FBA79908,Audio Array,PB-14 (AM-C43+AH-40-SL+AI-12),Bundles,PB-14,,9,36263.57,9,0.0,4,1p Sales,2026-06,2026-06-01,2026-06-30
B0FTVVLNS9,FBA79906,Audio Array,PB-12 (AM-C11+AA-05+AI-04+AH-60-RD),Bundles,PB-12,,4,40335.6,4,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0G39ZHDYP,FBA79959,Audio Array,AM-W47 Wired,Voice Amplifier,Wired Voice Amplifier,,66,67062.6,61,0.0,5,1p Sales,2026-06,2026-06-01,2026-06-30
B0G3B152FR,FBA79960,Audio Array,AM-W47 Wireless,Voice Amplifier,Wireless Voice Amplifier,,26,41842.32,24,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0G3B677Z5,FBA79969,Audio Array,UB-03 (AM-S1 + AA-22),Bundles,UB-03,,3,30844.91,3,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0G3Q517Y2,FBA79957,Audio Array,AM-W23,Microphone Wireless Lapel,Wireless Lapel Microphone,,7,16394.03,7,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0G3Q59X8C,FBA79958,Audio Array,AM-W24,Microphone Wireless Lapel,Wireless Lapel Microphone,,3,4378.48,3,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0G4DNF8RZ,FBA79842,Audio Array,AM-C48,Microphone Dynamic,Microphone Dynamic,,36,100647.36,36,0.0,11,1p Sales,2026-06,2026-06-01,2026-06-30
B0G53CB72D,FBA79963,Audio Array,AM-Pro8,Audio Mixer,8 channels Mixer,,1,17795.76,1,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0G53H49BS,FBA79961,Audio Array,AI-13,Audio Mixer,4 channels Mixer,,245,573489.63,249,0.0,84,1p Sales,2026-06,2026-06-01,2026-06-30
B0G53KWRVW,FBA79966,Audio Array,AM-Mix10,Audio Mixer,10 channels mixer,,12,106725.44,12,0.0,5,1p Sales,2026-06,2026-06-01,2026-06-30
B0G53KWRWH,FBA79964,Audio Array,AM-Pro12,Audio Mixer,12 channels Mixer,,1,19490.68,1,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0G53M9258,FBA79968,Audio Array,AI-14,Audio Mixer,8 channels Mixer,,45,247843.24,46,0.0,11,1p Sales,2026-06,2026-06-01,2026-06-30
B0G53PRM34,FBA79965,Audio Array,AM-Mix6,Audio Mixer,6 channels mixer,,2,14066.1,2,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0GCP1J2HC,FBA79972,Audio Array,M8,Audio Mixer,8 channels Mixer,,48,339917.83,49,0.0,20,1p Sales,2026-06,2026-06-01,2026-06-30
B0GKPXQ8G3,FBA80016,Audio Array,AM-W22,Microphone Wireless Lapel,Wireless Lapel Microphone,,10,28635.59,10,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0GN2LHJY4,FBA80007,Audio Array,MT-12,Audio Mixer,12 channels Mixer,,13,102531.36,12,0.0,5,1p Sales,2026-06,2026-06-01,2026-06-30
B0GN8MFDGZ,FBA79981,Audio Array,AK-61 Neo,Electric Keyboard,61 Key Electronic Keyboard With LED DIsplay,,22,93201.68,19,0.0,7,1p Sales,2026-06,2026-06-01,2026-06-30
B0GN8MMKY1,FBA79980,Audio Array,AK-37-W,Electric Keyboard,37 Key Electronic Keyboard White,,6,20333.88,6,0.0,1,1p Sales,2026-06,2026-06-01,2026-06-30
B0GN8MPYPG,FBA79982,Audio Array,AK-61 Pro,Electric Keyboard,61 Key Electronic Keyboard With LCD DIsplay,,16,74562.69,17,0.0,10,1p Sales,2026-06,2026-06-01,2026-06-30
B0GN8RQJRG,FBA79979,Audio Array,AK-37-B,Electric Keyboard,37 Key Electronic Keyboard Black,,8,27111.84,8,0.0,4,1p Sales,2026-06,2026-06-01,2026-06-30
B0GN97RFPR,FBA79848,Audio Array,AM-S2,Monitor Speakers,Studio Monitor Speaker,,199,1242204.6,201,0.0,51,1p Sales,2026-06,2026-06-01,2026-06-30
B0GW8R2RYM,FBA80009,Audio Array,AM-C51,Microphone Dynamic,Vocal Microphone,,3,4065.24,2,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0GW8VBCBL,FBA79995,Audio Array,AM-C50,Microphone Dynamic,Vocal Microphone,,1,856.19,0,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0GW8Z556N,FBA79996,Audio Array,AM-C49,Microphone Dynamic,Vocal Microphone,,6,4665.5,5,0.0,2,1p Sales,2026-06,2026-06-01,2026-06-30
B0GW8ZQRFK,FBA80010,Audio Array,AM-C52,Microphone Dynamic,Vocal Microphone,,0,0.0,0,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0GW96SHSK,FBA80002,Audio Array,AM-W33 Pro,Microphone Wireless Handheld,Single UHF Wireless Microphone With Receiver,,3,8641.53,3,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
B0GXP97CZG,FBA80084,Audio Array,BE-4,Audio Mixer,04 channels Mixer,,7,24487.97,7,0.0,3,1p Sales,2026-06,2026-06-01,2026-06-30
B0GXPBHDRF,FBA80085,Audio Array,M6,Audio Mixer,06 channels Mixer,,15,91173.45,14,0.0,0,1p Sales,2026-06,2026-06-01,2026-06-30
